CollectionTime,Value,ParameterName,UnitName,Location
1998-03-21 00:00:00,25.92,,ft,BP-1
1998-03-21 00:00:00,22.96,,ft,BP-11A
1996-12-02 00:00:00,1.9,,ft,Cell1-LCS
1996-02-14 00:00:00,0.48,,ft,Cell1-LDS
2001-01-10 00:00:00,0.2,,ft,Cell2-LCS
2001-01-11 00:00:00,0.1,,ft,Cell2-LCS
2001-01-12 00:00:00,0.2,,ft,Cell2-LCS
2001-01-15 00:00:00,0.2,,ft,Cell2-LCS
2001-01-16 00:00:00,0.3,,ft,Cell2-LCS
2001-01-17 00:00:00,0.1,,ft,Cell2-LCS
2001-01-18 00:00:00,0.1,,ft,Cell2-LCS
2001-01-19 00:00:00,0.2,,ft,Cell2-LCS
2001-01-22 00:00:00,0.2,,ft,Cell2-LCS
2001-01-23 00:00:00,0.3,,ft,Cell2-LCS
1996-02-15 00:00:00,0.52,,ft,Cell1-LDS
2001-01-24 00:00:00,0.3,,ft,Cell2-LCS
2001-01-25 00:00:00,0.3,,ft,Cell2-LCS
2001-01-26 00:00:00,0.3,,ft,Cell2-LCS
2001-01-29 00:00:00,0.3,,ft,Cell2-LCS
2001-01-30 00:00:00,0.3,,ft,Cell2-LCS
2001-01-31 00:00:00,0.3,,ft,Cell2-LCS
2001-02-01 00:00:00,0.3,,ft,Cell2-LCS
2001-02-02 00:00:00,0.3,,ft,Cell2-LCS
2001-02-06 00:00:00,0.3,,ft,Cell2-LCS
2001-02-07 00:00:00,0.3,,ft,Cell2-LCS
1996-02-16 00:00:00,0.53,,ft,Cell1-LDS
2001-02-08 00:00:00,0.3,,ft,Cell2-LCS
2001-02-09 00:00:00,0.3,,ft,Cell2-LCS
2001-02-13 00:00:00,0.6,,ft,Cell2-LCS
2001-02-14 00:00:00,0.6,,ft,Cell2-LCS
2001-02-16 00:00:00,0.4,,ft,Cell2-LCS
2001-02-20 00:00:00,0.7,,ft,Cell2-LCS
2001-02-21 00:00:00,0.7,,ft,Cell2-LCS
2001-02-22 00:00:00,1.2,,ft,Cell2-LCS
2001-02-23 00:00:00,1.2,,ft,Cell2-LCS
2001-02-27 00:00:00,2.0,,ft,Cell2-LCS
1996-02-19 00:00:00,0.35,,ft,Cell1-LDS
2001-02-28 00:00:00,1.1,,ft,Cell2-LCS
2001-03-01 00:00:00,0.8,,ft,Cell2-LCS
2001-03-02 00:00:00,0.8,,ft,Cell2-LCS
2001-03-06 00:00:00,2.0,,ft,Cell2-LCS
2001-03-07 00:00:00,1.7,,ft,Cell2-LCS
2001-03-08 00:00:00,1.1,,ft,Cell2-LCS
2001-03-09 00:00:00,1.1,,ft,Cell2-LCS
2001-03-13 00:00:00,1.4,,ft,Cell2-LCS
2001-03-14 00:00:00,0.7,,ft,Cell2-LCS
2001-03-15 00:00:00,1.1,,ft,Cell2-LCS
1996-02-20 00:00:00,0.41,,ft,Cell1-LDS
2001-03-16 00:00:00,2.8,,ft,Cell2-LCS
2001-03-20 00:00:00,4.2,,ft,Cell2-LCS
2001-03-21 00:00:00,3.8,,ft,Cell2-LCS
2001-03-22 00:00:00,3.8,,ft,Cell2-LCS
2001-03-23 00:00:00,4.0,,ft,Cell2-LCS
2001-03-27 00:00:00,2.1,,ft,Cell2-LCS
2001-03-28 00:00:00,1.5,,ft,Cell2-LCS
2001-03-29 00:00:00,2.1,,ft,Cell2-LCS
2001-03-30 00:00:00,1.1,,ft,Cell2-LCS
2001-01-02 00:00:00,1.1,,ft,Cell1-LCS
1996-02-21 00:00:00,0.45,,ft,Cell1-LDS
2001-01-03 00:00:00,0.3,,ft,Cell1-LCS
2001-01-04 00:00:00,0.4,,ft,Cell1-LCS
2001-01-05 00:00:00,0.3,,ft,Cell1-LCS
2001-01-08 00:00:00,0.3,,ft,Cell1-LCS
2001-01-09 00:00:00,0.3,,ft,Cell1-LCS
2001-01-10 00:00:00,0.3,,ft,Cell1-LCS
2001-01-11 00:00:00,0.3,,ft,Cell1-LCS
2001-01-12 00:00:00,0.3,,ft,Cell1-LCS
2001-01-15 00:00:00,0.3,,ft,Cell1-LCS
2001-01-16 00:00:00,0.3,,ft,Cell1-LCS
1996-02-22 00:00:00,0.47,,ft,Cell1-LDS
2001-01-17 00:00:00,0.2,,ft,Cell1-LCS
2001-01-18 00:00:00,0.3,,ft,Cell1-LCS
2001-01-19 00:00:00,0.2,,ft,Cell1-LCS
2001-01-22 00:00:00,0.2,,ft,Cell1-LCS
2001-01-23 00:00:00,0.2,,ft,Cell1-LCS
2001-01-24 00:00:00,0.2,,ft,Cell1-LCS
2001-01-25 00:00:00,0.2,,ft,Cell1-LCS
2001-01-26 00:00:00,0.2,,ft,Cell1-LCS
2001-01-29 00:00:00,0.3,,ft,Cell1-LCS
2001-01-30 00:00:00,0.3,,ft,Cell1-LCS
1996-02-23 00:00:00,0.48,,ft,Cell1-LDS
2001-01-31 00:00:00,0.3,,ft,Cell1-LCS
2001-02-01 00:00:00,0.3,,ft,Cell1-LCS
2001-02-02 00:00:00,0.3,,ft,Cell1-LCS
2001-02-06 00:00:00,0.3,,ft,Cell1-LCS
2001-02-07 00:00:00,0.3,,ft,Cell1-LCS
2001-02-08 00:00:00,0.3,,ft,Cell1-LCS
2001-02-09 00:00:00,0.3,,ft,Cell1-LCS
2001-02-13 00:00:00,1.0,,ft,Cell1-LCS
2001-02-14 00:00:00,0.3,,ft,Cell1-LCS
2001-02-16 00:00:00,0.3,,ft,Cell1-LCS
1996-02-24 00:00:00,0.52,,ft,Cell1-LDS
2001-02-20 00:00:00,0.3,,ft,Cell1-LCS
2001-02-21 00:00:00,0.3,,ft,Cell1-LCS
2001-02-22 00:00:00,1.2,,ft,Cell1-LCS
2001-02-23 00:00:00,1.2,,ft,Cell1-LCS
2001-02-27 00:00:00,1.2,,ft,Cell1-LCS
2001-02-28 00:00:00,1.1,,ft,Cell1-LCS
2001-03-01 00:00:00,1.1,,ft,Cell1-LCS
2001-03-02 00:00:00,1.1,,ft,Cell1-LCS
2001-03-06 00:00:00,1.1,,ft,Cell1-LCS
2001-03-07 00:00:00,1.1,,ft,Cell1-LCS
1996-02-26 00:00:00,0.61,,ft,Cell1-LDS
2001-03-08 00:00:00,1.1,,ft,Cell1-LCS
2001-03-09 00:00:00,1.1,,ft,Cell1-LCS
2001-03-13 00:00:00,1.1,,ft,Cell1-LCS
2001-03-14 00:00:00,0.4,,ft,Cell1-LCS
2001-03-15 00:00:00,1.1,,ft,Cell1-LCS
2001-03-16 00:00:00,1.0,,ft,Cell1-LCS
2001-03-20 00:00:00,1.0,,ft,Cell1-LCS
